run_sample_id	runid	bam_file	annotated_vcf_file	ghm_snp_file	ghcnv_probe_file	molecule_table_file	counts_file	coverage_file	sergmentation_file	genome_summary_file	coverage_plot_file	type	TF
A034673101	210416_A01020_0174_AHY5Y5DSXY	/ghds/ivd/flowcentral/210416_A01020_0174_AHY5Y5DSXY/A034673101.short.bwamem.cram	/ghds/ivd/flowcentral/210416_A01020_0174_AHY5Y5DSXY/A034673101.annotated.vcf	/ghds/ivd/flowcentral/210416_A01020_0174_AHY5Y5DSXY/A034673101.ghm_snp.hdr.tsv	/ghds/ivd/flowcentral/210416_A01020_0174_AHY5Y5DSXY/A034673101.ghcnv_probe.hdr.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210416_A01020_0174_AHY5Y5DSXY/A034673101.molecule_table.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210416_A01020_0174_AHY5Y5DSXY/A034673101.bin_counts.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210416_A01020_0174_AHY5Y5DSXY/A034673101.coverage.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210416_A01020_0174_AHY5Y5DSXY/A034673101.genome_segmentation.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210416_A01020_0174_AHY5Y5DSXY/A034673101.genome_summary.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210416_A01020_0174_AHY5Y5DSXY/A034673101.coverage_plot.pdf	TND	0
A034349901	210404_A00770_0282_BHY52MDSXY	/ghds/ivd/flowcentral/210404_A00770_0282_BHY52MDSXY/A034349901.short.bwamem.cram	/ghds/ivd/flowcentral/210404_A00770_0282_BHY52MDSXY/A034349901.annotated.vcf	/ghds/ivd/flowcentral/210404_A00770_0282_BHY52MDSXY/A034349901.ghm_snp.hdr.tsv	/ghds/ivd/flowcentral/210404_A00770_0282_BHY52MDSXY/A034349901.ghcnv_probe.hdr.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210404_A00770_0282_BHY52MDSXY/A034349901.molecule_table.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210404_A00770_0282_BHY52MDSXY/A034349901.bin_counts.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210404_A00770_0282_BHY52MDSXY/A034349901.coverage.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210404_A00770_0282_BHY52MDSXY/A034349901.genome_segmentation.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210404_A00770_0282_BHY52MDSXY/A034349901.genome_summary.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210404_A00770_0282_BHY52MDSXY/A034349901.coverage_plot.pdf	TND	0
A033885201	210323_A01361_0015_BHVH75DSXY	/ghds/ivd/flowcentral/210323_A01361_0015_BHVH75DSXY/A033885201.short.bwamem.cram	/ghds/ivd/flowcentral/210323_A01361_0015_BHVH75DSXY/A033885201.annotated.vcf	/ghds/ivd/flowcentral/210323_A01361_0015_BHVH75DSXY/A033885201.ghm_snp.hdr.tsv	/ghds/ivd/flowcentral/210323_A01361_0015_BHVH75DSXY/A033885201.ghcnv_probe.hdr.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210323_A01361_0015_BHVH75DSXY/A033885201.molecule_table.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210323_A01361_0015_BHVH75DSXY/A033885201.bin_counts.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210323_A01361_0015_BHVH75DSXY/A033885201.coverage.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210323_A01361_0015_BHVH75DSXY/A033885201.genome_segmentation.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210323_A01361_0015_BHVH75DSXY/A033885201.genome_summary.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210323_A01361_0015_BHVH75DSXY/A033885201.coverage_plot.pdf	TND	0
A034935301	210425_A00274_0491_BHYCKLDSXY	/ghds/ivd/flowcentral/210425_A00274_0491_BHYCKLDSXY/A034935301.short.bwamem.cram	/ghds/ivd/flowcentral/210425_A00274_0491_BHYCKLDSXY/A034935301.annotated.vcf	/ghds/ivd/flowcentral/210425_A00274_0491_BHYCKLDSXY/A034935301.ghm_snp.hdr.tsv	/ghds/ivd/flowcentral/210425_A00274_0491_BHYCKLDSXY/A034935301.ghcnv_probe.hdr.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210425_A00274_0491_BHYCKLDSXY/A034935301.molecule_table.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210425_A00274_0491_BHYCKLDSXY/A034935301.bin_counts.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210425_A00274_0491_BHYCKLDSXY/A034935301.coverage.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210425_A00274_0491_BHYCKLDSXY/A034935301.genome_segmentation.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210425_A00274_0491_BHYCKLDSXY/A034935301.genome_summary.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210425_A00274_0491_BHYCKLDSXY/A034935301.coverage_plot.pdf	TND	0
A034277201	210403_A00274_0474_AHVLNNDSXY	/ghds/ivd/flowcentral/210403_A00274_0474_AHVLNNDSXY/A034277201.short.bwamem.cram	/ghds/ivd/flowcentral/210403_A00274_0474_AHVLNNDSXY/A034277201.annotated.vcf	/ghds/ivd/flowcentral/210403_A00274_0474_AHVLNNDSXY/A034277201.ghm_snp.hdr.tsv	/ghds/ivd/flowcentral/210403_A00274_0474_AHVLNNDSXY/A034277201.ghcnv_probe.hdr.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210403_A00274_0474_AHVLNNDSXY/A034277201.molecule_table.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210403_A00274_0474_AHVLNNDSXY/A034277201.bin_counts.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210403_A00274_0474_AHVLNNDSXY/A034277201.coverage.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210403_A00274_0474_AHVLNNDSXY/A034277201.genome_segmentation.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210403_A00274_0474_AHVLNNDSXY/A034277201.genome_summary.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210403_A00274_0474_AHVLNNDSXY/A034277201.coverage_plot.pdf	TND	0
A034777701	210419_A01361_0036_AHY3HKDSXY	/ghds/ivd/flowcentral/210419_A01361_0036_AHY3HKDSXY/A034777701.short.bwamem.cram	/ghds/ivd/flowcentral/210419_A01361_0036_AHY3HKDSXY/A034777701.annotated.vcf	/ghds/ivd/flowcentral/210419_A01361_0036_AHY3HKDSXY/A034777701.ghm_snp.hdr.tsv	/ghds/ivd/flowcentral/210419_A01361_0036_AHY3HKDSXY/A034777701.ghcnv_probe.hdr.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210419_A01361_0036_AHY3HKDSXY/A034777701.molecule_table.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210419_A01361_0036_AHY3HKDSXY/A034777701.bin_counts.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210419_A01361_0036_AHY3HKDSXY/A034777701.coverage.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210419_A01361_0036_AHY3HKDSXY/A034777701.genome_segmentation.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210419_A01361_0036_AHY3HKDSXY/A034777701.genome_summary.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210419_A01361_0036_AHY3HKDSXY/A034777701.coverage_plot.pdf	TND	0
A033807101	210322_A00277_0449_AHVGWMDSXY	/ghds/ivd/flowcentral/210322_A00277_0449_AHVGWMDSXY/A033807101.short.bwamem.cram	/ghds/ivd/flowcentral/210322_A00277_0449_AHVGWMDSXY/A033807101.annotated.vcf	/ghds/ivd/flowcentral/210322_A00277_0449_AHVGWMDSXY/A033807101.ghm_snp.hdr.tsv	/ghds/ivd/flowcentral/210322_A00277_0449_AHVGWMDSXY/A033807101.ghcnv_probe.hdr.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210322_A00277_0449_AHVGWMDSXY/A033807101.molecule_table.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210322_A00277_0449_AHVGWMDSXY/A033807101.bin_counts.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210322_A00277_0449_AHVGWMDSXY/A033807101.coverage.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210322_A00277_0449_AHVGWMDSXY/A033807101.genome_segmentation.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210322_A00277_0449_AHVGWMDSXY/A033807101.genome_summary.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210322_A00277_0449_AHVGWMDSXY/A033807101.coverage_plot.pdf	TND	0
A033984601	210328_A01020_0161_BHVGVTDSXY	/ghds/ivd/flowcentral/210328_A01020_0161_BHVGVTDSXY/A033984601.short.bwamem.cram	/ghds/ivd/flowcentral/210328_A01020_0161_BHVGVTDSXY/A033984601.annotated.vcf	/ghds/ivd/flowcentral/210328_A01020_0161_BHVGVTDSXY/A033984601.ghm_snp.hdr.tsv	/ghds/ivd/flowcentral/210328_A01020_0161_BHVGVTDSXY/A033984601.ghcnv_probe.hdr.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210328_A01020_0161_BHVGVTDSXY/A033984601.molecule_table.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210328_A01020_0161_BHVGVTDSXY/A033984601.bin_counts.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210328_A01020_0161_BHVGVTDSXY/A033984601.coverage.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210328_A01020_0161_BHVGVTDSXY/A033984601.genome_segmentation.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210328_A01020_0161_BHVGVTDSXY/A033984601.genome_summary.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210328_A01020_0161_BHVGVTDSXY/A033984601.coverage_plot.pdf	TND	0
A033257202	210314_A01020_0146_AHVGKJDSXY	/ghds/ivd/flowcentral/210314_A01020_0146_AHVGKJDSXY/A033257202.short.bwamem.cram	/ghds/ivd/flowcentral/210314_A01020_0146_AHVGKJDSXY/A033257202.annotated.vcf	/ghds/ivd/flowcentral/210314_A01020_0146_AHVGKJDSXY/A033257202.ghm_snp.hdr.tsv	/ghds/ivd/flowcentral/210314_A01020_0146_AHVGKJDSXY/A033257202.ghcnv_probe.hdr.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210314_A01020_0146_AHVGKJDSXY/A033257202.molecule_table.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210314_A01020_0146_AHVGKJDSXY/A033257202.bin_counts.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210314_A01020_0146_AHVGKJDSXY/A033257202.coverage.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210314_A01020_0146_AHVGKJDSXY/A033257202.genome_segmentation.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210314_A01020_0146_AHVGKJDSXY/A033257202.genome_summary.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210314_A01020_0146_AHVGKJDSXY/A033257202.coverage_plot.pdf	TND	0
A035267501	210508_A00770_0310_BH33LWDSX2	/ghds/ivd/flowcentral/210508_A00770_0310_BH33LWDSX2/A035267501.short.bwamem.cram	/ghds/ivd/flowcentral/210508_A00770_0310_BH33LWDSX2/A035267501.annotated.vcf	/ghds/ivd/flowcentral/210508_A00770_0310_BH33LWDSX2/A035267501.ghm_snp.hdr.tsv	/ghds/ivd/flowcentral/210508_A00770_0310_BH33LWDSX2/A035267501.ghcnv_probe.hdr.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210508_A00770_0310_BH33LWDSX2/A035267501.molecule_table.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210508_A00770_0310_BH33LWDSX2/A035267501.bin_counts.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210508_A00770_0310_BH33LWDSX2/A035267501.coverage.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210508_A00770_0310_BH33LWDSX2/A035267501.genome_segmentation.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210508_A00770_0310_BH33LWDSX2/A035267501.genome_summary.tsv	/ghds/groups/bioinformatics/02_DEVELOPMENT/200830_GHCNVWG_PIPELINE/results/210608_CLINICAL_SAMPLES_V0.5/processed_samples/210508_A00770_0310_BH33LWDSX2/A035267501.coverage_plot.pdf	TND	0
